sku,plan
"Моцарелла Фиор ди латте в воде ""Unagrande"", 50%, 0,125 кг, ф/п, (8 шт)",-100
"Моцарелла Грандиоза в воде ""Unagrande"", 50%, 0,2 кг, ф/п",=D3
"Моцарелла в воде Фиор Ди Латте без лактозы “Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",-194
"Моцарелла в воде Фиор Ди Латте без лактозы ""ВкусВилл"", 45%, 0,125 кг, ф/п (8 шт)",=D6
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,125 кг, ф/п, (8 шт)",=D7
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",=D8
"Моцарелла Фиор ди Латте в воде ""Ваш выбор"", 50%, 0,1 кг, ф/п",=D9
"Моцарелла Фиор ди Латте в воде ""Красная птица"", 45%, 0,125 кг, ф/п",=D10
"Моцарелла Фиор ди латте в воде ""Fine Life"", 45%, 0,125 кг, ф/п",=D11
"Моцарелла сердечки в воде ""Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",=D12
"Моцарелла Чильеджина в воде ""Unagrande"", 50%, 0,125, ф/п, (8 шт)",=D22
"Моцарелла в воде Чильеджина без лактозы ""Unagrande"", 45%, 0,125 кг, ф/п",-20
"Моцарелла Чильеджина в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",=D24
"Моцарелла Чильеджина в воде ""Fine Life"", 45%, 0,125 кг, ф/п",=D25
"Моцарелла Чильеджина в воде ""Ваш выбор"", 50%, 0,1 кг, ф/п",=D26
"Моцарелла Чильеджина в воде ""Красная птица"", 45%, 0,125 кг, ф/п",=D27
"Моцарелла (палочки), 45%, кг, пл/л",-3600
"Моцарелла палочки 7,5 гр Эсперсен, 45%, кг, пл/л",=D34
"Сулугуни палочки ""Умалат"", 45%, 0,12 кг, т/ф (10 шт.)",-636
"Моцарелла палочки ""Unagrande"", 45%, 0,12 кг, т/ф",-143
"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",-1032
"Рикотта ""Pretto"", 45%, 0,2 кг, пл/с",-5000
"Рикотта ""Красная птица"", 30%,  0,25 кг, пл/с (6 шт)",-400
"Рикотта ""SPAR"", 30%, 0,2 кг, пл/с (6 шт)",-451
"Рикотта ""Глобус"", 45%, 0,25 кг, пл/с",-50
"Маскарпоне ""Pretto"", 80%, 0,25 кг, пл/с",-3000
"Маскарпоне ""Красная птица"", 80%,  0,25 кг, пл/с, (6 шт)",-521
"Маскарпоне ""ВкусВилл"", 80%, 0,25 кг, пл/с (6 шт)",-233
"Маскарпоне ""Глобус"", 80%, 0,25 кг, пл/с",-15
"Масло сливочное ""Умалат"", 72,5%, 2 кг, к/к",-450
"Масло сладко-сливочное традиционное ""Unagrande"", 82,5%, 0,5 кг, к/к",-200
"Масло сладко-сливочное Традиционное, 82,5%, 2 кг, к/к",-250
