,cell,bounds,x0,x1,y0,y1,label,font_size,is_bold,color,text_rotation
547,PJ23,"(426, 23, 426, 23)",426,23,427,24,05,9.0,False,#ccffff,90
500,PK23,"(427, 23, 427, 23)",427,23,428,24,10,9.0,False,#ccffff,90
993,PL23,"(428, 23, 428, 23)",428,23,429,24,15,9.0,False,#ccffff,90
49,PM23,"(429, 23, 429, 23)",429,23,430,24,20,9.0,False,#ccffff,90
736,PN23,"(430, 23, 430, 23)",430,23,431,24,25,9.0,False,#ccffff,90
350,PO23,"(431, 23, 431, 23)",431,23,432,24,30,9.0,False,#ccffff,90
293,PP23,"(432, 23, 432, 23)",432,23,433,24,35,9.0,False,#ccffff,90
809,PQ23,"(433, 23, 433, 23)",433,23,434,24,40,9.0,False,#ccffff,90
585,PR23,"(434, 23, 434, 23)",434,23,435,24,45,9.0,False,#ccffff,90
183,PS23,"(435, 23, 435, 23)",435,23,436,24,50,9.0,False,#ccffff,90
134,PT23,"(436, 23, 436, 23)",436,23,437,24,55,9.0,False,#ccffff,90
1412,PU23,"(437, 23, 437, 23)",437,23,438,24,17+1,9.0,False,#da9694,90
434,PV23,"(438, 23, 438, 23)",438,23,439,24,05,9.0,False,#ccffff,90
388,PW23,"(439, 23, 439, 23)",439,23,440,24,10,9.0,False,#ccffff,90
1697,PX23,"(440, 23, 440, 23)",440,23,441,24,15,9.0,False,#ccffff,90
1666,PY23,"(441, 23, 441, 23)",441,23,442,24,20,9.0,False,#ccffff,90
460,PZ23,"(442, 23, 442, 23)",442,23,443,24,25,9.0,False,#ccffff,90
229,QA23,"(443, 23, 443, 23)",443,23,444,24,30,9.0,False,#ccffff,90
1508,QB23,"(444, 23, 444, 23)",444,23,445,24,35,9.0,False,#ccffff,90
1525,QC23,"(445, 23, 445, 23)",445,23,446,24,40,9.0,False,#ccffff,90
1081,QD23,"(446, 23, 446, 23)",446,23,447,24,45,9.0,False,#ccffff,90
75,QE23,"(447, 23, 447, 23)",447,23,448,24,50,9.0,False,#ccffff,90
1352,QF23,"(448, 23, 448, 23)",448,23,449,24,55,9.0,False,#ccffff,90
1376,QG23,"(449, 23, 449, 23)",449,23,450,24,18+1,9.0,False,#da9694,90
939,QH23,"(450, 23, 450, 23)",450,23,451,24,05,9.0,False,#ccffff,90
1597,QI23,"(451, 23, 451, 23)",451,23,452,24,10,9.0,False,#ccffff,90
1221,QJ23,"(452, 23, 452, 23)",452,23,453,24,15,9.0,False,#ccffff,90
1173,QK23,"(453, 23, 453, 23)",453,23,454,24,20,9.0,False,#ccffff,90
1661,QL23,"(454, 23, 454, 23)",454,23,455,24,25,9.0,False,#ccffff,90
1440,QM23,"(455, 23, 455, 23)",455,23,456,24,30,9.0,False,#ccffff,90
1398,QN23,"(456, 23, 456, 23)",456,23,457,24,35,9.0,False,#ccffff,90
1026,QO23,"(457, 23, 457, 23)",457,23,458,24,40,9.0,False,#ccffff,90
