,cell,bounds,x0,x1,y0,y1,label,font_size,is_bold,color,text_rotation
341,GO32:HB32,"(197, 32, 210, 32)",197,32,211,33,Чильеджина 0.008,12.0,False,#ffffff,0
1489,HD32:HF32,"(212, 32, 214, 32)",212,32,215,33,8,12.0,True,#ffffff,0
1364,HG32:HU32,"(215, 32, 229, 32)",215,32,230,33,ЧЛДЖ 0.008,12.0,False,#ffffff,0
363,HW32:HY32,"(231, 32, 233, 32)",231,32,234,33,9,12.0,True,#ffffff,0
396,HZ32:IM32,"(234, 32, 247, 32)",234,32,248,33,Чильеджина 0.008,12.0,False,#ffffff,0
622,BN33:CG33,"(66, 33, 85, 33)",66,33,86,34,Красная птица/Unagrande/ВкусВилл/Pretto,12.0,False,#f2dcdb,0
1443,CL33:DH33,"(90, 33, 112, 33)",90,33,113,34,Pretto/Красная птица/Turatti/Ваш выбор,12.0,False,#f2dcdb,0
217,DJ33:ED33,"(114, 33, 134, 33)",114,33,135,34,Aventino/Orecchio Oro/Каждый день/SPAR/Pretto/Unagrande/Orecchio Oro,12.0,False,#f2dcdb,0
891,EF33:EZ33,"(136, 33, 156, 33)",136,33,157,34,Unagrande/Красная птица/Ваш выбор/Aventino/Каждый день/SPAR,12.0,False,#f2dcdb,0
768,FB33:FR33,"(158, 33, 174, 33)",158,33,175,34,Turatti,12.0,False,#f2dcdb,0
6,FT33:GJ33,"(176, 33, 192, 33)",176,33,193,34,Turatti,12.0,False,#f2dcdb,0
1203,GL33:HB33,"(194, 33, 210, 33)",194,33,211,34,Turatti,12.0,False,#f2dcdb,0
850,HD33:HU33,"(212, 33, 229, 33)",212,33,230,34,Turatti/Pretto,12.0,False,#f2dcdb,0
1046,HW33:IM33,"(231, 33, 247, 33)",231,33,248,34,Pretto,12.0,False,#f2dcdb,0
1677,BN34,"(66, 34, 66, 34)",66,34,67,35,,12.0,False,#f2dcdb,0
641,BO34,"(67, 34, 67, 34)",67,34,68,35,,12.0,False,#ff0000,0
244,BP34,"(68, 34, 68, 34)",68,34,69,35,,12.0,False,#f2dcdb,0
189,BQ34,"(69, 34, 69, 34)",69,34,70,35,,12.0,False,#ff0000,0
154,BW34:BX34,"(75, 34, 76, 34)",75,34,77,35,,12.0,False,#f2dcdb,0
239,BY34,"(77, 34, 77, 34)",77,34,78,35,,12.0,False,#ff0000,0
492,BZ34:CC34,"(78, 34, 81, 34)",78,34,82,35,,12.0,False,#f2dcdb,0
1426,CD34,"(82, 34, 82, 34)",82,34,83,35,,12.0,False,#ff0000,0
620,CE34:CG34,"(83, 34, 85, 34)",83,34,86,35,,12.0,False,#f2dcdb,0
1521,CK34,"(89, 34, 89, 34)",89,34,90,35,,12.0,False,#ff0000,0
1490,CL34:CZ34,"(90, 34, 104, 34)",90,34,105,35,,12.0,False,#f2dcdb,0
653,DA34,"(105, 34, 105, 34)",105,34,106,35,,12.0,False,#ff0000,0
254,DB34,"(106, 34, 106, 34)",106,34,107,35,,12.0,False,#f2dcdb,0
200,DC34,"(107, 34, 107, 34)",107,34,108,35,,12.0,False,#ff0000,0
778,DD34:DF34,"(108, 34, 110, 34)",108,34,111,35,,12.0,False,#f2dcdb,0
56,DG34,"(111, 34, 111, 34)",111,34,112,35,,12.0,False,#ff0000,0
1563,DH34,"(112, 34, 112, 34)",112,34,113,35,,12.0,False,#f2dcdb,0
355,DI34,"(113, 34, 113, 34)",113,34,114,35,,12.0,False,#ff0000,0
304,DJ34,"(114, 34, 114, 34)",114,34,115,35,,12.0,False,#f2dcdb,0
1633,DK34,"(115, 34, 115, 34)",115,34,116,35,,12.0,False,#ff0000,0
1197,DL34,"(116, 34, 116, 34)",116,34,117,35,,12.0,False,#f2dcdb,0
1538,DM34,"(117, 34, 117, 34)",117,34,118,35,,12.0,False,#ff0000,0
142,DN34,"(118, 34, 118, 34)",118,34,119,35,,12.0,False,#f2dcdb,0
1418,DO34,"(119, 34, 119, 34)",119,34,120,35,,12.0,False,#ff0000,0
1658,DP34:DR34,"(120, 34, 122, 34)",120,34,123,35,,12.0,False,#f2dcdb,0
1282,DS34,"(123, 34, 123, 34)",123,34,124,35,,12.0,False,#ff0000,0
534,DT34:DX34,"(124, 34, 128, 34)",124,34,129,35,,12.0,False,#f2dcdb,0
873,DY34,"(129, 34, 129, 34)",129,34,130,35,,12.0,False,#ff0000,0
1360,DZ34,"(130, 34, 130, 34)",130,34,131,35,,12.0,False,#f2dcdb,0
443,EA34,"(131, 34, 131, 34)",131,34,132,35,,12.0,False,#ff0000,0
941,EB34,"(132, 34, 132, 34)",132,34,133,35,,12.0,False,#f2dcdb,0
728,EC34,"(133, 34, 133, 34)",133,34,134,35,,12.0,False,#ff0000,0
1225,ED34,"(134, 34, 134, 34)",134,34,135,35,,12.0,False,#f2dcdb,0
1181,EE34,"(135, 34, 135, 34)",135,34,136,35,,12.0,False,#ff0000,0
648,EF34:EG34,"(136, 34, 137, 34)",136,34,138,35,,12.0,False,#f2dcdb,0
533,EH34,"(138, 34, 138, 34)",138,34,139,35,,12.0,False,#ff0000,0
1255,EI34:EK34,"(139, 34, 141, 34)",139,34,142,35,,12.0,False,#f2dcdb,0
383,EL34,"(142, 34, 142, 34)",142,34,143,35,,12.0,False,#ff0000,0
333,EM34:EN34,"(143, 34, 144, 34)",143,34,145,35,,12.0,False,#f2dcdb,0
395,EO34,"(145, 34, 145, 34)",145,34,146,35,,12.0,False,#ff0000,0
53,EP34:EQ34,"(146, 34, 147, 34)",146,34,148,35,,12.0,False,#f2dcdb,0
1452,ER34,"(148, 34, 148, 34)",148,34,149,35,,12.0,False,#ff0000,0
469,ES34:EU34,"(149, 34, 151, 34)",149,34,152,35,,12.0,False,#f2dcdb,0
1309,EV34,"(152, 34, 152, 34)",152,34,153,35,,12.0,False,#ff0000,0
133,EW34:EZ34,"(153, 34, 156, 34)",153,34,157,35,,12.0,False,#f2dcdb,0
1123,FA34,"(157, 34, 157, 34)",157,34,158,35,,12.0,False,#ff0000,0
369,FB34:FR34,"(158, 34, 174, 34)",158,34,175,35,,12.0,False,#f2dcdb,0
593,FS34,"(175, 34, 175, 34)",175,34,176,35,,12.0,False,#ff0000,0
1334,FT34:GJ34,"(176, 34, 192, 34)",176,34,193,35,,12.0,False,#f2dcdb,0
1554,GK34,"(193, 34, 193, 34)",193,34,194,35,,12.0,False,#ff0000,0
78,GL34:HB34,"(194, 34, 210, 34)",194,34,211,35,,12.0,False,#f2dcdb,0
479,HC34,"(211, 34, 211, 34)",211,34,212,35,,12.0,False,#ff0000,0
664,HD34:HF34,"(212, 34, 214, 34)",212,34,215,35,,12.0,False,#f2dcdb,0
332,HG34,"(215, 34, 215, 34)",215,34,216,35,,12.0,False,#ff0000,0
302,HH34:HU34,"(216, 34, 229, 34)",216,34,230,35,,12.0,False,#f2dcdb,0
1612,HV34,"(230, 34, 230, 34)",230,34,231,35,,12.0,False,#ff0000,0
662,HW34:IM34,"(231, 34, 247, 34)",231,34,248,35,,12.0,False,#f2dcdb,0
686,Q38:FD38,"(17, 38, 160, 38)",17,38,161,39,Смена 1,16.0,True,#95b3d7,0
1414,FE38:KC38,"(161, 38, 289, 38)",161,38,290,39,Смена 2,16.0,True,#ffff00,0
759,B39:D44,"(2, 39, 4, 44)",2,39,5,45,Линия плавления моцареллы в рассоле №2,12.0,False,#ffffff,0
290,AC39:AF39,"(29, 39, 32, 39)",29,39,33,40,10,12.0,True,#ffffff,0
964,AG39:AX39,"(33, 39, 50, 39)",33,39,51,40, Палочки 30.0г,12.0,False,#ffffff,0
974,DJ39:DM39,"(114, 39, 117, 39)",114,39,118,40,15,12.0,True,#ffffff,0
1601,DN39:EO39,"(118, 39, 145, 39)",118,39,146,40, 0.2,12.0,False,#ffffff,0
1053,GT39:GW39,"(202, 39, 205, 39)",202,39,206,40,20,12.0,True,#ffffff,0
725,GX39:HY39,"(206, 39, 233, 39)",206,39,234,40, 0.28,12.0,False,#ffffff,0
627,IR39:IU39,"(252, 39, 255, 39)",252,39,256,40,25,12.0,True,#ffffff,0
128,IV39:KC39,"(256, 39, 289, 39)",256,39,290,40, 1.2,12.0,False,#ffffff,0
856,AC40:AH40,"(29, 40, 34, 40)",29,40,35,41,подача и вымешивание,12.0,False,#ffa500,0
9,AI40:AV40,"(35, 40, 48, 40)",35,40,49,41,плавление/формирование,12.0,False,#ffa500,0
1157,AW40:AX40,"(49, 40, 50, 40)",49,40,51,41,посолка,12.0,False,#00b0f0,0
1526,DJ40:DO40,"(114, 40, 119, 40)",114,40,120,41,подача и вымешивание,12.0,False,#ffa500,0
152,DP40:DW40,"(120, 40, 127, 40)",120,40,128,41,плавление/формирование,12.0,False,#ffa500,0
1326,DX40:EO40,"(128, 40, 145, 40)",128,40,146,41,посолка,12.0,False,#00b0f0,0
1040,GT40:GY40,"(202, 40, 207, 40)",202,40,208,41,подача и вымешивание,12.0,False,#ffa500,0
1393,GZ40:HG40,"(208, 40, 215, 40)",208,40,216,41,плавление/формирование,12.0,False,#ffa500,0
1401,HH40:HY40,"(216, 40, 233, 40)",216,40,234,41,посолка,12.0,False,#00b0f0,0
1116,IR40:IW40,"(252, 40, 257, 40)",252,40,258,41,подача и вымешивание,12.0,False,#ffa500,0
1463,IX40:JE40,"(258, 40, 265, 40)",258,40,266,41,плавление/формирование,12.0,False,#ffa500,0
429,JF40:KC40,"(266, 40, 289, 40)",266,40,290,41,посолка,12.0,False,#00b0f0,0
985,AI41:AJ41,"(35, 41, 36, 41)",35,41,37,42,посолка,12.0,False,#00b0f0,0
1462,DP41:EG41,"(120, 41, 137, 41)",120,41,138,42,посолка,12.0,False,#00b0f0,0
256,GZ41:HQ41,"(208, 41, 225, 41)",208,41,226,42,посолка,12.0,False,#00b0f0,0
841,IX41:JU41,"(258, 41, 281, 41)",258,41,282,42,посолка,12.0,False,#00b0f0,0
717,AU43:AX43,"(47, 43, 50, 43)",47,43,51,44,11,12.0,True,#ffffff,0
976,AY43:BP43,"(51, 43, 68, 43)",51,43,69,44, Палочки 30.0г,12.0,False,#ffffff,0
1581,DW43:DZ43,"(127, 43, 130, 43)",127,43,131,44,16,12.0,True,#ffffff,0
432,EA43:FB43,"(131, 43, 158, 43)",131,43,159,44, 0.2,12.0,False,#ffffff,0
372,HE43:HH43,"(213, 43, 216, 43)",213,43,217,44,21,12.0,True,#ffffff,0
26,HI43:IJ43,"(217, 43, 244, 43)",217,43,245,44, 0.28,12.0,False,#ffffff,0
380,AU44:AZ44,"(47, 44, 52, 44)",47,44,53,45,подача и вымешивание,12.0,False,#ffa500,0
179,BA44:BN44,"(53, 44, 66, 44)",53,44,67,45,плавление/формирование,12.0,False,#ffa500,0
1193,BO44:BP44,"(67, 44, 68, 44)",67,44,69,45,посолка,12.0,False,#00b0f0,0
417,DW44:EB44,"(127, 44, 132, 44)",127,44,133,45,подача и вымешивание,12.0,False,#ffa500,0
719,EC44:EJ44,"(133, 44, 140, 44)",133,44,141,45,плавление/формирование,12.0,False,#ffa500,0
203,EK44:FB44,"(141, 44, 158, 44)",141,44,159,45,посолка,12.0,False,#00b0f0,0
362,HE44:HJ44,"(213, 44, 218, 44)",213,44,219,45,подача и вымешивание,12.0,False,#ffa500,0
517,HK44:HR44,"(219, 44, 226, 44)",219,44,227,45,плавление/формирование,12.0,False,#ffa500,0
1328,HS44:IJ44,"(227, 44, 244, 44)",227,44,245,45,посолка,12.0,False,#00b0f0,0
630,BA45:BB45,"(53, 45, 54, 45)",53,45,55,46,посолка,12.0,False,#00b0f0,0
1681,EC45:ET45,"(133, 45, 150, 45)",133,45,151,46,посолка,12.0,False,#00b0f0,0
1631,HK45:IB45,"(219, 45, 236, 45)",219,45,237,46,посолка,12.0,False,#00b0f0,0
1223,BJ47:BM47,"(62, 47, 65, 47)",62,47,66,48,12,12.0,True,#ffffff,0
1485,BN47:CE47,"(66, 47, 83, 47)",66,47,84,48, Палочки 30.0г,12.0,False,#ffffff,0
649,EM47:EP47,"(143, 47, 146, 47)",143,47,147,48,17,12.0,True,#ffffff,0
397,EQ47:FX47,"(147, 47, 180, 47)",147,47,181,48, 0.46,12.0,False,#ffffff,0
1126,HN47:HQ47,"(222, 47, 225, 47)",222,47,226,48,22,12.0,True,#ffffff,0
1345,HR47:IS47,"(226, 47, 253, 47)",226,47,254,48, 0.28,12.0,False,#ffffff,0
342,BJ48:BO48,"(62, 48, 67, 48)",62,48,68,49,подача и вымешивание,12.0,False,#ffa500,0
1358,BP48:CC48,"(68, 48, 81, 48)",68,48,82,49,плавление/формирование,12.0,False,#ffa500,0
654,CD48:CE48,"(82, 48, 83, 48)",82,48,84,49,посолка,12.0,False,#00b0f0,0
543,EM48:ER48,"(143, 48, 148, 48)",143,48,149,49,подача и вымешивание,12.0,False,#ffa500,0
110,ES48:EZ48,"(149, 48, 156, 48)",149,48,157,49,плавление/формирование,12.0,False,#ffa500,0
1354,FA48:FX48,"(157, 48, 180, 48)",157,48,181,49,посолка,12.0,False,#00b0f0,0
957,HN48:HS48,"(222, 48, 227, 48)",222,48,228,49,подача и вымешивание,12.0,False,#ffa500,0
550,HT48:IA48,"(228, 48, 235, 48)",228,48,236,49,плавление/формирование,12.0,False,#ffa500,0
38,IB48:IS48,"(236, 48, 253, 48)",236,48,254,49,посолка,12.0,False,#00b0f0,0
1499,BP49:BQ49,"(68, 49, 69, 49)",68,49,70,50,посолка,12.0,False,#00b0f0,0
1093,ES49:FP49,"(149, 49, 172, 49)",149,49,173,50,посолка,12.0,False,#00b0f0,0
842,HT49:IK49,"(228, 49, 245, 49)",228,49,246,50,посолка,12.0,False,#00b0f0,0
1130,CA51:CD51,"(79, 51, 82, 51)",79,51,83,52,13,12.0,True,#ffffff,0
852,CE51:CV51,"(83, 51, 100, 51)",83,51,101,52, Палочки 30.0г,12.0,False,#ffffff,0
523,FF51:FI51,"(162, 51, 165, 51)",162,51,166,52,18,12.0,True,#ffffff,0
29,FJ51:GQ51,"(166, 51, 199, 51)",166,51,200,52, 0.46,12.0,False,#ffffff,0
997,HV51:HY51,"(230, 51, 233, 51)",230,51,234,52,23,12.0,True,#ffffff,0
583,HZ51:JG51,"(234, 51, 267, 51)",234,51,268,52, 1.2,12.0,False,#ffffff,0
744,CA52:CF52,"(79, 52, 84, 52)",79,52,85,53,подача и вымешивание,12.0,False,#ffa500,0
453,CG52:CT52,"(85, 52, 98, 52)",85,52,99,53,плавление/формирование,12.0,False,#ffa500,0
1041,CU52:CV52,"(99, 52, 100, 52)",99,52,101,53,посолка,12.0,False,#00b0f0,0
516,FF52:FK52,"(162, 52, 167, 52)",162,52,168,53,подача и вымешивание,12.0,False,#ffa500,0
1205,FL52:FS52,"(168, 52, 175, 52)",168,52,176,53,плавление/формирование,12.0,False,#ffa500,0
329,FT52:GQ52,"(176, 52, 199, 52)",176,52,200,53,посолка,12.0,False,#00b0f0,0
1683,HV52:IA52,"(230, 52, 235, 52)",230,52,236,53,подача и вымешивание,12.0,False,#ffa500,0
1335,IB52:II52,"(236, 52, 243, 52)",236,52,244,53,плавление/формирование,12.0,False,#ffa500,0
303,IJ52:JG52,"(244, 52, 267, 52)",244,52,268,53,посолка,12.0,False,#00b0f0,0
876,CG53:CH53,"(85, 53, 86, 53)",85,53,87,54,посолка,12.0,False,#00b0f0,0
742,FL53:GI53,"(168, 53, 191, 53)",168,53,192,54,посолка,12.0,False,#00b0f0,0
261,IB53:IY53,"(236, 53, 259, 53)",236,53,260,54,посолка,12.0,False,#00b0f0,0
300,DA55:DD55,"(105, 55, 108, 55)",105,55,109,56,14,12.0,True,#ffffff,0
874,DE55:EF55,"(109, 55, 136, 55)",109,55,137,56, 0.2,12.0,False,#ffffff,0
1029,FY55:GB55,"(181, 55, 184, 55)",181,55,185,56,19,12.0,True,#ffffff,0
724,GC55:HJ55,"(185, 55, 218, 55)",185,55,219,56, 0.46,12.0,False,#ffffff,0
313,IG55:IJ55,"(241, 55, 244, 55)",241,55,245,56,24,12.0,True,#ffffff,0
1219,IK55:JR55,"(245, 55, 278, 55)",245,55,279,56, 1.2,12.0,False,#ffffff,0
1496,DA56:DF56,"(105, 56, 110, 56)",105,56,111,57,подача и вымешивание,12.0,False,#ffa500,0
1150,DG56:DN56,"(111, 56, 118, 56)",111,56,119,57,плавление/формирование,12.0,False,#ffa500,0
606,DO56:EF56,"(119, 56, 136, 56)",119,56,137,57,посолка,12.0,False,#00b0f0,0
1514,FY56:GD56,"(181, 56, 186, 56)",181,56,187,57,подача и вымешивание,12.0,False,#ffa500,0
1168,GE56:GL56,"(187, 56, 194, 56)",187,56,195,57,плавление/формирование,12.0,False,#ffa500,0
289,GM56:HJ56,"(195, 56, 218, 56)",195,56,219,57,посолка,12.0,False,#00b0f0,0
299,IG56:IL56,"(241, 56, 246, 56)",241,56,247,57,подача и вымешивание,12.0,False,#ffa500,0
691,IM56:IT56,"(247, 56, 254, 56)",247,56,255,57,плавление/формирование,12.0,False,#ffa500,0
1023,IU56:JR56,"(255, 56, 278, 56)",255,56,279,57,посолка,12.0,False,#00b0f0,0
565,DG57:DX57,"(111, 57, 128, 57)",111,57,129,58,посолка,12.0,False,#00b0f0,0
251,GE57:HB57,"(187, 57, 210, 57)",187,57,211,58,посолка,12.0,False,#00b0f0,0
1101,IM57:JJ57,"(247, 57, 270, 57)",247,57,271,58,посолка,12.0,False,#00b0f0,0
1701,Y59:FL59,"(25, 59, 168, 59)",25,59,169,60,Смена 1,16.0,True,#95b3d7,0
1578,FM59:KI59,"(169, 59, 295, 59)",169,59,296,60,Смена 2,16.0,True,#ffff00,0
1034,AK60:AM60,"(37, 60, 39, 60)",37,60,40,61,10,12.0,True,#ffffff,0
678,AN60:BA60,"(40, 60, 53, 60)",40,60,54,61,МОЦ Палочки 30.0г,12.0,False,#ffffff,0
1433,BC60:BE60,"(55, 60, 57, 60)",55,60,58,61,11,12.0,True,#ffffff,0
1084,BF60:BP60,"(58, 60, 68, 60)",58,60,69,61,Моцарелла Палочки 30.0г,12.0,False,#ffffff,0
1242,BR60:BT60,"(70, 60, 72, 60)",70,60,73,61,12,12.0,True,#ffffff,0
330,BU60:CG60,"(73, 60, 85, 60)",73,60,86,61,МОЦ Палочки 30.0г/CYЛГ Палочки 30.0г,12.0,False,#ffffff,0
545,CI60:CK60,"(87, 60, 89, 60)",87,60,90,61,13,12.0,True,#ffffff,0
351,CL60:CW60,"(90, 60, 101, 60)",90,60,102,61,CYЛГ Палочки 30.0г,12.0,False,#ffffff,0
1695,DY60:EA60,"(129, 60, 131, 60)",129,60,132,61,14,12.0,True,#ffffff,0
464,EB60:EF60,"(132, 60, 136, 60)",132,60,137,61,Сулугуни 0.2,12.0,False,#ffffff,0
1372,EH60:EJ60,"(138, 60, 140, 60)",138,60,141,61,15,12.0,True,#ffffff,0
345,EK60:EQ60,"(141, 60, 147, 60)",141,60,148,61,CYЛГ 0.2/МОЦ 0.2,12.0,False,#ffffff,0
833,EU60:EW60,"(151, 60, 153, 60)",151,60,154,61,16,12.0,True,#ffffff,0
1501,EX60:FD60,"(154, 60, 160, 60)",154,60,161,61,МОЦ 0.2/CYЛГ 0.2/МОЦ 0.2,12.0,False,#ffffff,0
665,HC60:HE60,"(211, 60, 213, 60)",211,60,214,61,19,12.0,True,#ffffff,0
1139,HF60:HP60,"(214, 60, 224, 60)",214,60,225,61,Моцарелла 0.46,12.0,False,#ffffff,0
900,HR60:HT60,"(226, 60, 228, 60)",226,60,229,61,20,12.0,True,#ffffff,0
419,HU60:IA60,"(229, 60, 235, 60)",229,60,236,61,МОЦ 0.28/CYЛГ 0.28,12.0,False,#ffffff,0
780,IC60:IE60,"(237, 60, 239, 60)",237,60,240,61,21,12.0,True,#ffffff,0
584,IF60:IJ60,"(240, 60, 244, 60)",240,60,245,61,Сулугуни 0.28,12.0,False,#ffffff,0
427,IL60:IN60,"(246, 60, 248, 60)",246,60,249,61,22,12.0,True,#ffffff,0
402,IO60:IT60,"(249, 60, 254, 60)",249,60,255,61,CYЛГ 0.28,12.0,False,#ffffff,0
1610,IZ60:JB60,"(260, 60, 262, 60)",260,60,263,61,23,12.0,True,#ffffff,0
1573,JC60:JI60,"(263, 60, 269, 60)",263,60,270,61,CYЛГ 1.2/МОЦ 1.2,12.0,False,#ffffff,0
1544,JK60:JM60,"(271, 60, 273, 60)",271,60,274,61,24,12.0,True,#ffffff,0
1127,JN60:JS60,"(274, 60, 279, 60)",274,60,280,61,МОЦ 1.2,12.0,False,#ffffff,0
559,JV60:JX60,"(282, 60, 284, 60)",282,60,285,61,25,12.0,True,#ffffff,0
848,JY60:KC60,"(285, 60, 289, 60)",285,60,290,61,Моцарелла 1.2,12.0,False,#ffffff,0
823,AK61:BA61,"(37, 61, 53, 61)",37,61,54,62,Красная птица/Бонджорно/Unagrande/ВкусВилл,12.0,False,#f2dcdb,0
7,BC61:BP61,"(55, 61, 68, 61)",55,61,69,62,ВкусВилл,12.0,False,#f2dcdb,0
1189,BR61:CG61,"(70, 61, 85, 61)",70,61,86,62,ВкусВилл/Красная птица/ВкусВилл,12.0,False,#f2dcdb,0
503,CI61:CW61,"(87, 61, 101, 61)",87,61,102,62,ВкусВилл/Умалат,12.0,False,#f2dcdb,0
1177,DY61:EF61,"(129, 61, 136, 61)",129,61,137,62,ВкусВилл,12.0,False,#f2dcdb,0
996,EH61:EQ61,"(138, 61, 147, 61)",138,61,148,62,ВкусВилл/Aventino/Вкусвилл,12.0,False,#f2dcdb,0
512,EU61:FD61,"(151, 61, 160, 61)",151,61,161,62,Вкусвилл/Умалат/Pretto,12.0,False,#f2dcdb,0
1613,HC61:HP61,"(211, 61, 224, 61)",211,61,225,62,Unagrande,12.0,False,#f2dcdb,0
515,HR61:IA61,"(226, 61, 235, 61)",226,61,236,62,Красная птица/Зеленая линия/ВкусВилл,12.0,False,#f2dcdb,0
1064,IC61:IJ61,"(237, 61, 244, 61)",237,61,245,62,ВкусВилл,12.0,False,#f2dcdb,0
1419,IL61:IT61,"(246, 61, 254, 61)",246,61,255,62,ВкусВилл/Умалат,12.0,False,#f2dcdb,0
1121,IZ61:JI61,"(260, 61, 269, 61)",260,61,270,62,Умалат/Unagrande,12.0,False,#f2dcdb,0
1605,JK61:JS61,"(271, 61, 279, 61)",271,61,280,62,Unagrande/Pretto,12.0,False,#f2dcdb,0
1158,JV61:KC61,"(282, 61, 289, 61)",282,61,290,62,Pretto,12.0,False,#f2dcdb,0
164,AK62,"(37, 62, 37, 62)",37,62,38,63,,12.0,False,#f2dcdb,0
1445,AL62,"(38, 62, 38, 62)",38,62,39,63,,12.0,False,#ff0000,0
1470,AM62,"(39, 62, 39, 62)",39,62,40,63,,12.0,False,#f2dcdb,0
1027,AN62,"(40, 62, 40, 62)",40,62,41,63,,12.0,False,#ff0000,0
181,AO62:AQ62,"(41, 62, 43, 62)",41,62,44,63,,12.0,False,#f2dcdb,0
888,AR62,"(44, 62, 44, 62)",44,62,45,63,,12.0,False,#ff0000,0
1287,AS62:BA62,"(45, 62, 53, 62)",45,62,54,63,,12.0,False,#f2dcdb,0
1208,BB62,"(54, 62, 54, 62)",54,62,55,63,,12.0,False,#ff0000,0
1179,BC62:BP62,"(55, 62, 68, 62)",55,62,69,63,,12.0,False,#f2dcdb,0
210,BQ62,"(69, 62, 69, 62)",69,62,70,63,,12.0,False,#ff0000,0
1390,BR62:BV62,"(70, 62, 74, 62)",70,62,75,63,,12.0,False,#f2dcdb,0
1505,BW62,"(75, 62, 75, 62)",75,62,76,63,,12.0,False,#ff0000,0
1458,BX62,"(76, 62, 76, 62)",76,62,77,63,,12.0,False,#f2dcdb,0
1078,BY62,"(77, 62, 77, 62)",77,62,78,63,,12.0,False,#ff0000,0
1098,BZ62:CG62,"(78, 62, 85, 62)",78,62,86,63,,12.0,False,#f2dcdb,0
690,CH62,"(86, 62, 86, 62)",86,62,87,63,,12.0,False,#ff0000,0
762,CI62:CP62,"(87, 62, 94, 62)",87,62,95,63,,12.0,False,#f2dcdb,0
1050,CQ62,"(95, 62, 95, 62)",95,62,96,63,,12.0,False,#ff0000,0
173,CR62:CW62,"(96, 62, 101, 62)",96,62,102,63,,12.0,False,#f2dcdb,0
877,CX62:DB62,"(102, 62, 106, 62)",102,62,107,63,,12.0,False,#ff0000,0
624,DY62:EF62,"(129, 62, 136, 62)",129,62,137,63,,12.0,False,#f2dcdb,0
922,EG62,"(137, 62, 137, 62)",137,62,138,63,,12.0,False,#ff0000,0
866,EH62,"(138, 62, 138, 62)",138,62,139,63,,12.0,False,#f2dcdb,0
484,EI62,"(139, 62, 139, 62)",139,62,140,63,,12.0,False,#ff0000,0
435,EJ62,"(140, 62, 140, 62)",140,62,141,63,,12.0,False,#f2dcdb,0
771,EK62,"(141, 62, 141, 62)",141,62,142,63,,12.0,False,#ff0000,0
1552,EL62:EQ62,"(142, 62, 147, 62)",142,62,148,63,,12.0,False,#f2dcdb,0
125,ER62,"(148, 62, 148, 62)",148,62,149,63,,12.0,False,#ff0000,0
782,EU62:EV62,"(151, 62, 152, 62)",151,62,153,63,,12.0,False,#f2dcdb,0
667,EW62,"(153, 62, 153, 62)",153,62,154,63,,12.0,False,#ff0000,0
197,EX62,"(154, 62, 154, 62)",154,62,155,63,,12.0,False,#f2dcdb,0
216,EY62,"(155, 62, 155, 62)",155,62,156,63,,12.0,False,#ff0000,0
221,EZ62:FD62,"(156, 62, 160, 62)",156,62,161,63,,12.0,False,#f2dcdb,0
1301,FE62,"(161, 62, 161, 62)",161,62,162,63,,12.0,False,#ff0000,0
1386,HC62:HP62,"(211, 62, 224, 62)",211,62,225,63,,12.0,False,#f2dcdb,0
987,HQ62,"(225, 62, 225, 62)",225,62,226,63,,12.0,False,#ff0000,0
618,HR62,"(226, 62, 226, 62)",226,62,227,63,,12.0,False,#f2dcdb,0
564,HS62,"(227, 62, 227, 62)",227,62,228,63,,12.0,False,#ff0000,0
960,HT62:HW62,"(228, 62, 231, 62)",228,62,232,63,,12.0,False,#f2dcdb,0
364,HX62,"(232, 62, 232, 62)",232,62,233,63,,12.0,False,#ff0000,0
1678,HY62:IA62,"(233, 62, 235, 62)",233,62,236,63,,12.0,False,#f2dcdb,0
202,IB62,"(236, 62, 236, 62)",236,62,237,63,,12.0,False,#ff0000,0
1541,IC62:IJ62,"(237, 62, 244, 62)",237,62,245,63,,12.0,False,#f2dcdb,0
15,IK62,"(245, 62, 245, 62)",245,62,246,63,,12.0,False,#ff0000,0
1294,IL62,"(246, 62, 246, 62)",246,62,247,63,,12.0,False,#f2dcdb,0
80,IM62,"(247, 62, 247, 62)",247,62,248,63,,12.0,False,#ff0000,0
384,IN62:IT62,"(248, 62, 254, 62)",248,62,255,63,,12.0,False,#f2dcdb,0
241,IU62:IY62,"(255, 62, 259, 62)",255,62,260,63,,12.0,False,#ff0000,0
769,IZ62,"(260, 62, 260, 62)",260,62,261,63,,12.0,False,#f2dcdb,0
315,JA62,"(261, 62, 261, 62)",261,62,262,63,,12.0,False,#ff0000,0
391,JB62:JI62,"(262, 62, 269, 62)",262,62,270,63,,12.0,False,#f2dcdb,0
1516,JJ62,"(270, 62, 270, 62)",270,62,271,63,,12.0,False,#ff0000,0
708,JK62,"(271, 62, 271, 62)",271,62,272,63,,12.0,False,#f2dcdb,0
246,JL62,"(272, 62, 272, 62)",272,62,273,63,,12.0,False,#ff0000,0
571,JM62:JS62,"(273, 62, 279, 62)",273,62,280,63,,12.0,False,#f2dcdb,0
1133,JT62,"(280, 62, 280, 62)",280,62,281,63,,12.0,False,#ff0000,0
938,JV62:KC62,"(282, 62, 289, 62)",282,62,290,63,,12.0,False,#f2dcdb,0
162,FQ63:FS63,"(173, 63, 175, 63)",173,63,176,64,17,12.0,True,#ffffff,0
