,group_id,sku,kg,original_kg,packing_team_id,boiling,bff,configuration,cleaning,sheet,total_volume,line,boiling_volumes,sku_name,batch_id,boiling_id,batch_type,absolute_batch_id
43,17,<MozzarellaSKU 71>,881.8750000000001,850.0,2,<MozzarellaBoiling 39>,<MozzarellaFormFactor 20>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла ""Unagrande"", 45%, 3 кг, пл/л",17,17,mozzarella,17
44,7,<MozzarellaSKU 120>,1089.375,1080.0,1,<MozzarellaBoiling 43>,<MozzarellaFormFactor 16>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Чильеджина ""Turatti"", 45%, 0,1/0,18 кг, ф/п",7,7,mozzarella,7
45,18,<MozzarellaSKU 71>,881.8750000000001,850.0,2,<MozzarellaBoiling 39>,<MozzarellaFormFactor 20>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла ""Unagrande"", 45%, 3 кг, пл/л",18,18,mozzarella,18
46,8,<MozzarellaSKU 120>,195.06714876033058,195.0,1,<MozzarellaBoiling 43>,<MozzarellaFormFactor 16>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Чильеджина ""Turatti"", 45%, 0,1/0,18 кг, ф/п",8,8,mozzarella,8
47,8,<MozzarellaSKU 97>,894.3078512396694,894.0,1,<MozzarellaBoiling 43>,<MozzarellaFormFactor 16>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Чильеджина ""Pretto"", 45%, 0,1/0,18 кг, ф/п, (8 шт)",8,8,mozzarella,8
48,19,<MozzarellaSKU 117>,881.8750000000001,850.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 20>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у",19,19,mozzarella,19
49,9,<MozzarellaSKU 97>,1089.375,1080.0,1,<MozzarellaBoiling 43>,<MozzarellaFormFactor 16>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Чильеджина ""Pretto"", 45%, 0,1/0,18 кг, ф/п, (8 шт)",9,9,mozzarella,9
50,20,<MozzarellaSKU 81>,161.15990351872873,161.0,1,<MozzarellaBoiling 38>,<MozzarellaFormFactor 9>,8300,short,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла для пиццы ""Красная птица"", 45%, 0,28 кг, т/ф",20,20,mozzarella,20
51,20,<MozzarellaSKU 107>,396.3933030646992,396.0,1,<MozzarellaBoiling 38>,<MozzarellaFormFactor 9>,8300,short,0,881.875,<MozzarellaLine 1>,[850.0],"Сулугуни ""Зеленая линия"", 45%, 0,28 кг, т/ф",20,20,mozzarella,20
52,20,<MozzarellaSKU 76>,324.32179341657206,324.0,1,<MozzarellaBoiling 38>,<MozzarellaFormFactor 9>,8300,short,0,881.875,<MozzarellaLine 1>,[850.0],"Сулугуни ""ВкусВилл"", 45%, 0,28 кг, т/ф",20,20,mozzarella,20
53,21,<MozzarellaSKU 76>,881.875,880.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 9>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Сулугуни ""ВкусВилл"", 45%, 0,28 кг, т/ф",21,21,mozzarella,21
54,22,<MozzarellaSKU 76>,133.13209421112373,133.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 9>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Сулугуни ""ВкусВилл"", 45%, 0,28 кг, т/ф",22,22,mozzarella,22
55,22,<MozzarellaSKU 79>,748.7429057888762,748.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 9>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",22,22,mozzarella,22
56,23,<MozzarellaSKU 110>,32.03178206583428,32.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 7>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Сулугуни ""Умалат"", 45%, 1,2  кг, т/ф",23,23,mozzarella,23
57,23,<MozzarellaSKU 83>,849.8432179341658,849.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 7>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла ""Unagrande"", 45%, 1,2 кг, т/ф",23,23,mozzarella,23
58,24,<MozzarellaSKU 83>,92.09137343927355,92.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 7>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла ""Unagrande"", 45%, 1,2 кг, т/ф",24,24,mozzarella,24
59,24,<MozzarellaSKU 70>,789.7836265607265,789.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 7>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла ""Pretto"", 45%, 1,2 кг, т/ф (8 шт)",24,24,mozzarella,24
60,25,<MozzarellaSKU 70>,881.875,880.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 7>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла ""Pretto"", 45%, 1,2 кг, т/ф (8 шт)",25,25,mozzarella,25
