sku;code;in_box;kg;boxes_count
"Маскарпоне ""Pretto"", 80%, 0,25 кг, пл/с";Н0000083955;6;1860;1240
"Маскарпоне ""Unagrande"", 80%, 0,25 кг, пл/с";Н0000079142;6;450;300
"Маскарпоне ""Unаgrande"", 80%, 0,5 кг, пл/с";Н0000085587;6;480;160
"Сливки ""Красная птица"", 38%, 0,25 л, пл/с";Н0000096634;6;100;67
"Сливки Panna Fresca ""Unagrande"", 38%, 0,5 л, пл/с";Н0000090708;6;400;134
