sku,plan
"Моцарелла Фиор ди латте в воде ""Unagrande"", 50%, 0,125 кг, ф/п, (8 шт)",-969.0
"Моцарелла Грандиоза в воде ""Unagrande"", 50%, 0,2 кг, ф/п",-32.8
"Моцарелла в воде Фиор Ди Латте без лактозы “Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",-51.0
"Моцарелла в воде Фиор Ди Латте без лактозы ""ВкусВилл"", 45%, 0,125 кг, ф/п (8 шт)",-500.0
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,125 кг, ф/п, (8 шт)",-101.25
"Моцарелла Фиор ди латте в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-33.0
"Моцарелла сердечки в воде ""Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",-25.0
"Моцарелла в воде Фиор Ди Латте ""Orecchio Oro"", 45%, 0,1 кг, ф/п",-448.0
"Моцарелла в воде Фиор Ди Латте ""Каждый день"", 45%, 0,1 кг, ф/п",-1.2
"Моцарелла Фиор ди Латте в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-507.0
"Моцарелла Чильеджина в воде ""Unagrande"", 50%, 0,125, ф/п, (8 шт)",-86.0
"Моцарелла Чильеджина в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-2004.8000000000002
"Моцарелла Чильеджина в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-39.0
"Моцарелла Чильеджина в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-499.5
"Моцарелла в воде Чильеджина ""Orecchio Oro"", 45%, 0,1 кг, ф/п",-643.2
"Моцарелла в воде Чильеджина ""Каждый день"", 45%, 0,1 кг, ф/п",-1.2
"Сулугуни ""Маркет Перекресток"", 45%, 0,28 кг, т/ф",-850.0
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",-250.0
"Сулугуни ""ВкусВилл"", 45%, 0,28 кг, т/ф",-600.8
"Сулугуни палочки ""Умалат"", 45%, 0,12 кг, т/ф (10 шт.)",-138.72
"Сулугуни ""Умалат"" (для хачапури), 45%, 0,12 кг, ф/п",-12.000000000000002
"Моцарелла палочки ""Unagrande"", 45%, 0,12 кг, т/ф",-46.8
"Моцарелла палочки ""Бонджорно"", 45%, 0,12 кг, т/ф",-30.0
"Сулугуни без лактозы ""ВкусВилл"", 45%, 0,2 кг, т/ф",-1467.6
"Моцарелла для сэндвичей ""Unagrande"", 45%, 0,28 кг, т/ф, (8 шт)",-221.76
"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у, (8 шт)",-400.0
"Моцарелла для пиццы ""Pretto"", 45%, 0,46 кг, т/ф, (8 шт)",-400.0
"Моцарелла ""Unagrande"", 45%, 1,2 кг, в/у",-375.4
"Моцарелла ""Pretto"", 45%, 1,2 кг, в/у",-534.0
"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",-907.1999999999999
"Моцарелла ""Unagrande"", 45%, 3 кг, пл/л",-1188.0
"Моцарелла шары ""Metro Chef"", 45%, кг, в/у",-450.0
"Качокавалло ""Unagrande"", 45%, кг",-48.0
"Качокавалло ""Unagrande"", 45%, кг Х5",-68.0
"Кавказский ""Умалат"" (Перекресток), 45%, кг, в/у",-9.299999999999997
"Кавказский ""Умалат"" (Окей), 45%, кг, в/у",-9.0
"Кавказский ""Умалат"", 45%, 0,37 кг, в/у",-187.07000000000005
"Кавказский ""Умалат"", 45%, кг, в/у",-24.0
"Сыр Черкесский ""Умалат"", 45%, 0,28 кг, т/ф",-22.400000000000006
"Сыр Черкесский ""Умалат"" (БИЛЛА), 45%, т/ф, ВЕС",-44.8
"Рикотта сицилийская ""Unagrande"", 55%, 0,3 кг, пл/с",-43.8
"Качорикотта ""Unagrande"", 45%, 0,37 кг, в/у",-8.88000000000001
"Четук ""Умалат"", 45%, 0,37 кг, в/у",-136.76
"Рикотта ""Pretto"" (зернистая), 30%, 0,37 кг, в/у",-106.56
"Рикотта с шоколадом ""Unagrande"", 30%, 0,18 кг, пл/с",-100.0
"Рикотта с шоколадом ""Бонджорно"", 30%, 0,2 кг, пл/с",-300.0
"Рикотта с ванилью ""Бонджорно"", 30%, 0,2 кг, пл/с",-200.0
"Рикотта ""Pretto"", 45%, 0,5 кг, пл/с",-3500.0
"Рикотта ""Pretto"", 45%, 0,2 кг, пл/с",-1800.0
"Рикотта ""ВкусВилл"", 45%, 0,18 кг, пл/с (6 шт)",-1250.0
"Маскарпоне ""Pretto"", 80%, 0,5 кг, пл/с",-1550.0
"Маскарпоне ""Красная птица"", 80%,  0,25 кг, пл/с, (6 шт)",-700.0
"Маскарпоне ""ВкусВилл"", 80%, 0,25 кг, пл/с (6 шт)",-900.0
"Маскарпоне ""Unаgrande"", 80%, 0,5 кг, пл/с",-450.0
"Масло сливочное ""Умалат"", 72,5%, 2 кг, к/к",-450.0
"Масло сладко-сливочное Традиционное, 82,5%, 2 кг, к/к",-450.0
