sku,plan
"Моцарелла Фиор ди латте в воде ""Unagrande"", 50%, 0,125 кг, ф/п, (8 шт)",-1100.0
"Моцарелла Чильеджина в воде ""Unagrande"", 50%, 0,125, ф/п, (8 шт)",-2200.0
"Моцарелла Чильеджина в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-1152.0
"Моцарелла Чильеджина в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-64.5
"Моцарелла Чильеджина в воде ""Ваш выбор"", 50%, 0,1 кг, ф/п",-334.8
"Моцарелла Чильеджина в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-547.5
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",-4341.12
"Сулугуни ""ВкусВилл"", 45%, 0,28 кг, т/ф",-783.84
"Сулугуни ""Умалат"", 45%, 0,2 кг, т/ф, (9 шт)",-126.0
"Сулугуни ""Умалат"" (для хачапури), 45%, 0,12 кг, ф/п",-1071.6
"Сулугуни  ""Умалат"", 45%, 0,37 кг, т/ф, (6 шт)",-952.38
"Моцарелла для пиццы «Fine Life», 45%, 0,37 кг, т/ф, (6 шт)",-64.38
"Моцарелла без лактозы для сэндвичей ""Unagrande"", 45%, 0,28 кг, т/ф",-300.0
"Моцарелла для сэндвичей ""Unagrande"", 45%, 0,28 кг, т/ф, (8 шт)",-451.63999999999993
"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у, (8 шт)",-1400.0
"Моцарелла для пиццы ""Pretto"", 45%, 0,46 кг, т/ф, (8 шт)",-482.08
"Моцарелла для пиццы ""Фермерская коллекция"", 45%, 0,2 кг, т/ф",-160.20000000000002
"Моцарелла ""Pretto"" (для бутербродов), 45%, 0,2 кг, т/ф, (9 шт)",-763.2
"Моцарелла ""Pretto"", 45%, 1,2 кг, в/у",-381.6
"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",-770.4
"Моцарелла ""Unagrande"", 45%, 3 кг, пл/л",-450.0
"Моцарелла ""Unagrande"", 45%, 0,12 кг, ф/п (кубики)",-7.199999999999999
"Моцарелла шары ""Metro Chef"", 45%, кг, в/у",-82.80000000000007
"Качокавалло ""Unagrande"", 45%, кг",-16.7
"Качокавалло ""Unagrande"" (ОК), 45%, кг",-17.1
"Качокавалло ""Unagrande"", 45%, кг Х5",-39.1
"Кавказский ""Умалат"" (Перекресток), 45%, кг, в/у",-718.8
"Кавказский ""Умалат"" (Окей), 45%, кг, в/у",-72.0
"Кавказский ""Умалат"" (Метро), 45%, кг, в/у",-75.0
"Кавказский ""Умалат"", 45%, 0,37 кг, в/у",-251.60000000000014
"Кавказский ""Умалат"", 45%, кг, в/у",-295.0
"Сыр Черкесский ""Умалат"", 45%, 0,28 кг, т/ф",-322.56000000000006
"Сыр Черкесский ""Умалат"", 45%, кг, т/ф, ВЕС",-60.0
"Рикотта сицилийская ""Unagrande"", 55%, 0,3 кг, пл/с",-75.6
"Качорикотта ""Unagrande"", 45%, 0,37 кг, в/у",-1189.92
"Четук ""Умалат"", 45%, 0,37 кг, в/у",-76.95999999999998
"Рикотта ""Pretto"" (зернистая), 30%, 0,37 кг, в/у",-224.95999999999998
"Рикотта ""Unagrande"", 50%, 0,25 кг, пл/с",-760.0
"Рикотта ""Unagrande"", 50%, 0,5 кг, пл/с",-250.0
"Рикотта ""Pretto"", 45%, 0,5 кг, пл/с",-8000.0
"Рикотта ""Pretto"", 45%, 0,2 кг, пл/с",-2000.0
"Рикотта ""Глобус"", 45%, 0,25 кг, пл/с",-40.0
"Маскарпоне ""Unagrande"", 80%, 0,25 кг, пл/с",-6022.0
"Маскарпоне ""Pretto"", 80%, 0,25 кг, пл/с",-570.0
"Маскарпоне ""Pretto"", 80%, 0,5 кг, пл/с",-1460.0
"Маскарпоне ""Красная птица"", 80%,  0,25 кг, пл/с, (6 шт)",-330.0
"Маскарпоне ""Unаgrande"", 80%, 0,5 кг, пл/с",-280.0
"Масло сладко-сливочное без лактозы Крестьянское ""Unagrande"", 72,5%, 0,5 кг, к/к",-450.0
"Масло сладко-сливочное Традиционное, 82,5%, 2 кг, к/к",-450.0
