sku,plan
"Моцарелла Фиор ди латте в воде ""Unagrande"", 50%, 0,125 кг, ф/п, (8 шт)",-817.625
"Моцарелла Грандиоза в воде ""Unagrande"", 50%, 0,2 кг, ф/п",-36.8
"Моцарелла в воде Фиор Ди Латте без лактозы “Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",-303.0
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-105.59999999999991
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,125 кг, ф/п, (8 шт)",-126.25
"Моцарелла Фиор ди Латте в воде ""Ваш выбор"", 50%, 0,1 кг, ф/п",-409.2
"Моцарелла Фиор ди латте в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-195.0
"Моцарелла сердечки в воде ""Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",-14.0
"Моцарелла Фиор ди Латте в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-199.5
"Моцарелла Чильеджина в воде ""Unagrande"", 50%, 0,125, ф/п, (8 шт)",-2986.0
"Моцарелла в воде Чильеджина без лактозы ""Unagrande"", 45%, 0,125 кг, ф/п",-93.625
"Моцарелла Чильеджина в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-602.4000000000001
"Моцарелла Чильеджина в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-126.0
"Моцарелла Чильеджина в воде ""Ваш выбор"", 50%, 0,1 кг, ф/п",-710.4
"Моцарелла Чильеджина в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-256.5
"Моцарелла в воде Чильеджина ""Каждый день"", 45%, 0,1 кг, ф/п",-1.2
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",-690.1999999999998
"Сулугуни палочки ""Умалат"", 45%, 0,12 кг, т/ф (10 шт.)",-210.71999999999997
"Сулугуни  ""Умалат"", 45%, 0,37 кг, т/ф, (6 шт)",-1700.0
"Моцарелла палочки ""Unagrande"", 45%, 0,12 кг, т/ф",-174.36
"Моцарелла палочки ""Бонджорно"", 45%, 0,12 кг, т/ф",-46.800000000000004
"Моцарелла для сэндвичей ""Unagrande"", 45%, 0,28 кг, т/ф, (8 шт)",-850.0
"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у, (8 шт)",-559.3600000000001
"Моцарелла ""Pretto"" (для бутербродов), 45%, 0,2 кг, т/ф, (9 шт)",-1665.0
"Моцарелла ""Unagrande"", 45%, 1,2 кг, в/у",-850.0
"Моцарелла ""Pretto"", 45%, 1,2 кг, в/у",-1700.0
"Моцарелла ""Unagrande"", 45%, 3 кг, пл/л",-588.0
"Моцарелла шары ""Metro Chef"", 45%, кг, в/у",-331.19999999999993
"Качокавалло ""Unagrande"", 45%, кг",-90.16499999999999
"Качокавалло ""Unagrande"" (ОК), 45%, кг",-35.699999999999996
"Кавказский ""Умалат"" (Тандер), 45%, кг , в/у",-518.094
"Кавказский ""Умалат"", 45%, 0,37 кг, в/у",-285.26999999999987
"Сыр Черкесский ""Умалат"", 45%, 0,28 кг, т/ф",-663.0400000000001
"Рикотта сицилийская ""Unagrande"", 55%, 0,3 кг, пл/с",-43.8
"Качорикотта ""Unagrande"", 45%, 0,37 кг, в/у",-26.639999999999986
"Четук ""Умалат"", 45%, 0,37 кг, в/у",-343.36
"Рикотта ""Pretto"" (зернистая), 30%, 0,37 кг, в/у",-233.84
"Рикотта ""Unagrande"", 50%, 0,25 кг, пл/с",-700.0
"Рикотта ""Unagrande"", 50%, 0,5 кг, пл/с",-350.0
"Рикотта ""Pretto"", 45%, 0,5 кг, пл/с",-3200.0
"Рикотта ""Pretto"", 45%, 0,2 кг, пл/с",-3000.0
"Рикотта ""Красная птица"", 30%,  0,25 кг, пл/с (6 шт)",-350.0
"Рикотта ""Глобус"", 45%, 0,25 кг, пл/с",-60.0
"Кремчиз ""Unagrande"", 70%, 0,5 кг, пл/с",-100.0
"Кремчиз ""Pretto"", 75%, 0,2 кг, пл/с",-200.0
"Кремчиз ""Unagrande"", 70%, 0,18 кг, пл/с",-600.0
"Творожный ""Pretto"", 65%, 0,18 кг, пл/с",-400.0
"Творожный ""Фермерская коллекция"", 65%,0,18 кг,пл/с",-20.0
"Робиола ""Unagrande"", 65%, 0,18 кг, пл/с",-100.0
"Маскарпоне ""Unagrande"", 80%, 0,25 кг, пл/с",-5000.0
"Маскарпоне ""Pretto"", 80%, 0,25 кг, пл/с",-610.0
"Маскарпоне ""Pretto"", 80%, 0,5 кг, пл/с",-1050.0
"Маскарпоне ""Красная птица"", 80%,  0,25 кг, пл/с, (6 шт)",-430.0
"Маскарпоне ""Глобус"", 80%, 0,25 кг, пл/с",-40.0
"Маскарпоне ""Unаgrande"", 80%, 0,5 кг, пл/с",-850.0
