sku,plan
"Моцарелла Фиор ди латте в воде ""Unagrande"", 50%, 0,125 кг, ф/п, (8 шт)",-581.0
"Моцарелла в воде Фиор ди Латте ""Aventino"", 45%, 0,1 кг, ф/п",-1440.8
"Моцарелла Чильеджина в воде ""Unagrande"", 50%, 0,125, ф/п, (8 шт)",-6569.0
"Моцарелла Чильеджина в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-557.6000000000001
"Моцарелла Чильеджина в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-31.5
"Моцарелла в воде Чильеджина ""Orecchio Oro"", 45%, 0,1 кг, ф/п",-383.2
"Моцарелла в воде Чильеджина ""Aventino"", 45%, 0,1 кг, ф/п",-31.2
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",-4250.0
"Сулугуни ""Умалат"", 45%, 0,2 кг, т/ф, (9 шт)",-300.0
"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у, (8 шт)",-1700.0
"Моцарелла ""Pretto"" (для бутербродов), 45%, 0,2 кг, т/ф, (9 шт)",-1700.0
"Качокавалло ""Unagrande"", 45%, кг",-24.290000000000003
"Качокавалло ""Unagrande"" (ОК), 45%, кг",-14.869999999999997
"Качокавалло ""Unagrande"", 45%, кг Х5",-11.96
"Кавказский ""Умалат"" (Перекресток), 45%, кг, в/у",-864.348
"Кавказский ""Умалат"" (Окей), 45%, кг, в/у",-15.366
"Кавказский ""Умалат"" (Тандер), 45%, кг , в/у",-522.96
"Кавказский ""Умалат"" (Метро), 45%, кг, в/у",-123.0
"Кавказский ""Умалат"", 45%, 0,37 кг, в/у",-666.0000000000002
"Кавказский ""Умалат"", 45%, кг, в/у",-358.602
"Сыр Черкесский ""Умалат"" (БИЛЛА), 45%, т/ф, ВЕС",-44.8
"Рикотта сицилийская ""Unagrande"", 55%, 0,3 кг, пл/с",-34.19999999999999
"Качорикотта ""Unagrande"", 45%, 0,37 кг, в/у",-1015.2800000000002
"Четук ""Умалат"", 45%, 0,37 кг, в/у",-115.44
"Рикотта ""Pretto"" (зернистая), 30%, 0,37 кг, в/у",-41.44
"Рикотта ""Pretto"", 45%, 0,2 кг, пл/с",-8400.0
"Кремчиз ""Unagrande"", 70%, 0,5 кг, пл/с",-100.0
"Кремчиз ""Pretto"", 75%, 0,2 кг, пл/с",-300.0
"Кремчиз ""ВкусВилл"", 70%, 0,18 кг, пл/с (6шт)",-150.0
"Кремчиз ""Unagrande"", 70%, 0,18 кг, пл/с",-350.0
"Творожный ""Pretto"", 65%, 0,18 кг, пл/с",-200.0
"Творожный ""Фермерская коллекция"", 65%,0,18 кг,пл/с",-50.0
"Робиола ""Unagrande"", 65%, 0,18 кг, пл/с",-200.0
"Маскарпоне ""Unagrande"", 80%, 0,25 кг, пл/с",-7200.0
"Масло сливочное ""Умалат"", 72,5%  0,5 кг, к/к",-450.0
"Масло сливочное ""Умалат"", 72,5%, 2 кг, к/к",-450.0
